About,Name,Fan_Count,Link,Checkins,id
"Worldâ€™s largest community driven hospitality company offering homes & experiences",Airbnb,12362251,https://www.facebook.com/airbnb/,2747,324826532457
"Airbnb Citizen is the official advocacy channel of Airbnb. We are a community of hosts and guests who believe in the power of home sharing. Please join us!","Airbnb Citizen",174560,https://www.facebook.com/airbnbcitizen/,0,493747700758477
"This is a community where AirBnb hosts gather and share ideas.","AirBnb hosts",19681,https://www.facebook.com/airbnb.hosts.forum/,0,1468282856757350
"Great rentals for New York City vacationers and short term visitors looking for sublets.","Airbnb New York City",565,https://www.facebook.com/AirbnbNewYorkCity/,203,515857105136831
"Private guest room w/ private guest bath in Washington, DC home located in upper north west. Hosts are professional married couple hosting via Airbnb 5 yrs","Airbnb Washington DC",356,https://www.facebook.com/AirbnbWashingtonDC/,50,126753367445648
"If you are looking for a place to stay in Miami, look no further than here. We have the perfect listings here for you!!!","Airbnb Miami",282,https://www.facebook.com/airbnbmiami/,0,1818940138365930
"Airbnb News Page","Airbnb News",1558,https://www.facebook.com/airbnb.news/,0,548045732020945
"This page supports our Atlanta Airbnb Host Meetup Group (https://www.meetup.com/Atlanta-Airbnb/). Please like our page and visit our Meetup page to join and find out about meetings.","Atlanta Airbnb Hosts",21,https://www.facebook.com/atlantaairbnb/,0,1631940123774870
"We are here to provide you news, places and updates from AirBnb.For users and people who want to use the site in the future.Unofficial Airbnb page.","Airbnb Expirence",14420,https://www.facebook.com/airbnbexperience/,0,1466277920286900
"Register to AirBnb using this link to get a discount.","Airbnb Discount",2118,https://www.facebook.com/getairbnbdiscount/,0,829814617130796
"Free Airbnb coupon codes 2017 to save more on Travel deals. Get latest Airbnb coupons 2017, Airbnb Promo Code & Airbnb Discounts from here.",Airbnb.Discount.Coupon.Codes,7026,https://www.facebook.com/Airbnb.Discount.Coupon.Codes/,0,209342816072439
